tokens,onerilen_konular
"['giriş', 'yapmaya', 'çalışıyorm', 'şifremi', 'unuttum', 'eski', 'posta', 'hesabıma', 'şifre', 'gönderiliyor', 'böyle', 'saçmalık', 'görmedim']","ş, ş, h, ş, p"
"['herzaman', 'salakazan', 'puanmı', 'vericek', 'böyle', 'devam', 'ederse', 'galiba', 'silnecek', 'bir', 'üygulama', 'olacak', 'galiba']","s, p, g, p, h"
"['limit', 'yükselme', 'beni', 'uğraşırdınız', 'para', 'yatırdım', 'paramida', 'halen', 'iade', 'etmediniz', 'haram', 'zıkkım', 'olsun']","b, u, p, y, i"
"['hayatımda', 'böyle', 'aptal', 'uygulama', 'görmemiştim', 'pişmanım']","g, p, h, u, g"
"['hazır', 'limitimi', 'kullanmak', 'isterken', 'wife', 'bağlantınız', 'kapatın', 'diyor', 'böyle', 'bir', 'saçmalık', 'göremedim', 'çözün', 'sıkıntıyı']","w, i, b, k, w"
"['türlü', 'işlemde', 'sürekli', 'sorun', 'sıkıntı', 'beş', 'para', 'etmez', 'bir', 'uygulama', 'oldu', 'ayrıca', 'paycell', 'puana', 'hediyeler', 'vereceğiz', 'diyorsunuz', 'uygulama', 'bir', 'şekilde', 'açmadı', 'saatte', 'kendi', 'adamlarınıza', 'veriyorsunuz', 'sanırım', 'hakkım', 'haram', 'zıkkım', 'olsun', 'iki', 'cihanda', 'çıksın', 'paycell', 'sahiplerinden', 'kağıtçılıktan', 'sahtekarlıktan', 'dolandırıcılıktan', 'sorumlu', 'olan', 'herkesten', 'allah', 'cezanızı', 'versin']","d, s, d, c, k"
"['sizin', 'klasik', 'sistemsel', 'sorun', 'nedeniyle', 'işleminizi', 'gerçekleştiremedik', 'hatasının', 'allah', 'belasını', 'versin', 'tarafınıza', 'girsin', 'hata', 'böyle', 'salak', 'saçma', 'sistem', 'görmedim', 'para', 'yüklüyoruz', 'hata', 'alışveriş', 'yapıyoruz', 'hata', 'sokayım', 'sisteminize']","y, y, g, h, h"
"['uygulamanin', 'hazir', 'limitini', 'kullanmak', 'istiyorum', 'aktar', 'diyorum', 'wifi', 'kapatman', 'lazim', 'diyor', 'kapatiyorum', 'hala', 'acikmis', 'goruyor', 'telefonumdami', 'sikinti', 'var', 'dedim', 'ayri', 'telefonda', 'denedim', 'ayni', 'hata', 'kullanamiya', 'aksam', 'nie', 'bana', 'hazir', 'limit', 'tanimliyorsunuz', 'cok', 'sacma', 'acil', 'cozum', 'lazim', 'bence']","w, d, g, t, t"
"['saat', 'civarı', 'paycell', 'karta', 'kayıtlı', 'kartlardan', 'yükleme', 'yapılamıyor', 'ayrıca', 'hediye', 'dünyamda', 'puan', 'ürünleri', 'gelmiyor', 'adeta', 'kendi', 'kendilerine', 'kampanya', 'yapmış', 'gibiler', 'ayrıca', 'hediye', 'dünyam', 'hediyeleri', 'sadece', 'paycell', 'puan', 'alınan', 'örneğin', 'scooter', 'ürünü', 'metin', 'öne', 'çıkartıyorlar', 'bence', 'doğru', 'değil', 'kullanıcı', 'churn', 'ediyor', 'sonuç', 'olarak', 'diğer', 'cüzdan', 'uygulamarından', 'farksız', 'üzerine', 'düşülmemiş', 'teknik', 'sorunlar', 'ödeme', 'yapılamayan', 'bir', 'uygulama', 'olmuş']","k, k, p, c, k"
"['faturama', 'girip', 'bakiyim', 'dedim', 'girmez', 'olaydım', 'beyond', 'vrdiye', 'faturama', 'yansımış', 'ben', 'eminim', 'hicbir', 'sekilde', 'böyle', 'bişeye', 'abone', 'oldum', 'nede', 'izin', 'verdim', 'ayrıca', 'benim', 'paycel', 'kartımda', 'para', 'bile', 'yoktu', 'bunu', 'iznim', 'dışında', 'parayı', 'faturama', 'böyle', 'yansıta', 'biliyorsunuz', 'acilen', 'duzeltilsin', 'lütfen', 'ayrıca', 'faturama', 'yansıttığınız', 'bütçeyi', 'iade', 'istiyorum', 'lütfen', 'düzeltin']","f, f, f, f, v"
"['allah', 'belasını', 'versin', 'böyle', 'paycelin', 'bin', 'para', 'yatırıyorum', 'parama', 'yarım', 'saat', 'sonra', 'bloke', 'koyuyor', 'sistem', 'güvenliği', 'deyip', 'gün', 'parami', 'alamıyorum', 'kendi', 'kartımdan', 'kendi', 'hesabıma', 'para', 'yatiriyorum', 'neyin', 'güvenliği', 'kendi', 'paramı', 'benden', 'koruyorsunuz']","p, p, p, k, y"
"['uygulamaya', 'giriş', 'dahi', 'yapamıyorum', 'sürekli', 'hata', 'veriyor', 'böyle', 'uygulamanın', 'allah', 'belasını', 'versin']","s, y, h, h, d"
"['aman', 'aman', 'kampanyalar', 'yok', 'kötüsü', 'kampanyadan', 'kazanılan', 'paraların', 'bile', 'bittikten', 'hafta', 'sonra', 'yüklenmesi', 'i̇ndirimlerin', 'anında', 'düşmesi', 'iyi', 'olurdu', 'müşteri', 'hizmetleri', 'kötü', 'bağlanmıyor', 'hiçbir', 'konuda', 'bilgileri', 'yok']","k, k, a, k, k"
"['hediyesi', 'iyi']","h, h, i"
"['telefon', 'aciyordu', 'eskiden', 'simdi', 'uygulama', 'durduruldu', 'diyip', 'duruyor', 'gercekten', 'berbat', 'bir', 'uygulama', 'keşke', 'hic', 'almadaydim', 'tlme', 'yazik', 'gider', 'zamaninda', 'gider', 'cola', 'alirdim', 'bide', 'icinde', 'para', 'var', 'yokmuda', 'bilmiyorum', 'indirmeyin', 'karti', 'satin', 'almayin', 'simit', 'yiyin', 'iyi', 'aci̇len', 'düzelti̇lsi̇n', 'sizin', 'kartinizi', 'kullanmak', 'icin', 'telefon', 'degistirecegim']","t, t, i, k, a"
"['lanet', 'olsun', 'altın', 'hesabımdan', 'bozmak', 'istiyorum', 'bozmuyorlar', 'işleminiz', 'sonra', 'deneyiniz', 'diyor', 'catlicam', 'lanet', 'olsun', 'böyle', 'sisteme']","d, s, b, a, b"
"['papara', 'iyi', 'üzgünüm']","i, ü, p, i, p"
"['acilen', 'güncelleyin', 'kardeşim', 'yeter', 'kullanmamızda', 'bir', 'kart', 'geçici', 'kapatma', 'bloke', 'koyma', 'nedir', 'yapamazsınız', 'böyle', 'birşeyi', 'ben', 'kdr', 'eloktronik', 'para', 'uygulaması', 'kullandım', 'böyle', 'olmaz', 'lütfen', 'düzeltin', 'ylksa', 'bırakmak', 'zorunda', 'kalacağım', 'paycelli', 'okuyup', 'beğenin', 'lütfen', 'kullanıcılar']","k, b, g, k, b"
"['küsur', 'puanım', 'var', 'günlük', 'bir', 'alamıyorum', 'uygulama', 'biraz', 'düzenleme', 'yapsanız', 'iyi', 'olur']","u, d, k, a, p"
"['kandırmaktan', 'başka', 'bir', 'değil', 'indirirken', 'harcadığım', 'internete', 'yazık', 'puanım', 'gözüküyor', 'internete', 'çevirmiyor', 'birde', 'ilk', 'katıldığım', 'puan', 'verdi', 'onun', 'dışında', 'oyunlar', 'hediye', 'internet', 'adı', 'altında', 'olanlar', 'paralı', 'kadar', 'aşağılık', 'olmayın', 'insanların', 'artık', 'parası', 'yetmiyor', 'hediyelere', 'yöneliyor', 'onlarda', 'paralı', 'bir', 'umut', 'haketmiyorsunuz', 'alın', 'internetiniz', 'puanınız', 'sizin', 'olsun', 'hee', 'bugünkü', 'aldığım', 'puanile', 'sadece', 'aldım', 'saolun', 'yapardım']","h, i, i, h, a"
"['düşünceli', 'anlayışlı', 'bir', 'uygulama', 'teşekkür', 'ederiz', 'sizinle', 'birliktedevam', 'etmek', 'iyi', 'güzel']","u, d, a, t, t"
"['kadar', 'kâğıtçılık', 'olurmu', 'play', 'store', 'dan', 'harcama', 'yapıyorum', 'faturama', 'paycell', 'abonelik', 'ücreti', 'olarak', 'lira', 'yansıtıyorlar', 'yaparsanız', 'yapın', 'mobil', 'ödemede', 'ayda', 'bir', 'lira', 'ücret', 'alıyoruz', 'diyor', 'diğer', 'operatörleri', 'kullanırken', 'böyle', 'yoktu', 'insanları', 'dolandırın', 'olsa', 'engel', 'olan', 'yok']","ü, m, ü, ö, l"
"['kadar', 'gözü', 'açık', 'bir', 'uygulama', 'görmedim', 'neredeyse', 'işlemden', 'kendi', 'hesabına', 'para', 'yatırma', 'dahil', 'komisyon', 'alıyor', 'aylık', 'ekstra', 'kullanım', 'ücreti', 'alıyor', 'yaptığım', 'işlemlerin', 'özetini', 'kesintileri', 'göremiyor', 'sunuz', 'yardım', 'kısmı', 'ulaşa', 'bilene', 'aşk', 'olsun', 'arada', 'puanım', 'azaldı', 'aktif', 'kuponum', 'gözüküyor', 'kupon', 'yok', 'kampanyalar', 'bile', 'kandırmaca']","a, k, p, h, g"
"['paycell', 'puanım', 'msj', 'gelmesine', 'rağmen', 'puan', 'yüklenmiyo', 'böyle', 'saçmalık']","r, p, g, p, b"
"['gördüğüm', 'gereksiz', 'uygulama', 'davet', 'kodu', 'davet', 'ettiğim', 'kişinin', 'bana', 'ona', 'giden', 'puanı', 'hediye', 'dünyama', 'düşmüyo', 'madem', 'vermiceksiniz', 'böyle', 'kampanyayı', 'kaldırın']","k, b, k, k, d"
"['bir', 'söyliyeceğim', 'sizin', 'beyniniz', 'iyi', 'deyil', 'bence', 'bir', 'haftada', 'bir', 'diyer', 'haftadaki', 'kazandigimiz', 'puanlar', 'gidiyor', 'saçma', 'böyle', 'olacaksa', 'puan', 'biriktiririz']","h, b, s, i, p"
"['böyle', 'bir', 'sacma', 'uygulama', 'görmedim', 'kampanya', 'yapan', 'iadeye', 'gelince', 'binbir', 'bahane', 'uyduran', 'tek', 'kelimeyle', 'berbat', 'bir', 'oluşum']","g, k, k, u, k"
"['para', 'transferi', 'yaptim', 'gündür', 'hesaba', 'yatmadi', 'yok', 'maile', 'dokont', 'gönderi̇n', 'yok', 'şöyle', 'yok', 'böyle', 'tazminat', 'davasi', 'acmaya', 'karar', 'verdim', 'bakalim', 'ki̇m', 'ci̇n', 'elimde', 'dokont', 'var', 'hepsine', 'dava', 'açacam']","t, d, d, d, t"
"['uygulama', 'iyi', 'tek', 'sıkıntı', 'bazen', 'arkadaşımı', 'davet', 'ediyorum', 'ikimizden', 'birine', 'puan', 'geç', 'geliyor']","b, a, d, i, e"
"['iyi', 'değil', 'bence']","i, d, d, b, i"
"['önce', 'olsa', 'yıldızın', 'hepsini', 'tuşlar', 'iyi', 'bir', 'yorum', 'yapardım', 'kendi', 'kafalarına', 'göre', 'limiti', 'indirmeleri', 'vermiş', 'oldukları', 'limit', 'birşeyler', 'yazmak', 'içimden', 'gelmiyor', 'verdiğiniz', 'limitide', 'kaldırın', 'onuda', 'hatta', 'sattığınız', 'ürünlerin', 'parasını', 'kesmek', 'veriyorsunuz', 'doğru', 'düzgün', 'limit', 'verin', 'yada', 'verdiğiniz', 'yide', 'alın', 'yoksa', 'uygulamayı', 'iptal', 'edip', 'hesabımı', 'kapatacağım', 'turkcell', 'dahil', 'operatörü', 'yılardır', 'kullanıyorum', 'değiştirme', 'vakti', 'geldi', 'demek']","l, v, o, l, y"
"['uygulamayi', 'kullaniyorum', 'tek', 'önerim', 'bunu', 'ödemede', 'taksitlendirme', 'yapilsa', 'cok', 'iyi', 'olur']","ö, b, ö, u, ö"
"['limit', 'biraz', 'fazla', 'olursa', 'iyi', 'olur', 'surekli', 'turkcell', 'faturalarsa', 'gecerlidir', 'hatasi', 'veriyor', 'zaten', 'ben', 'fatura', 'hat', 'kullaniyorumdaha', 'hazir', 'limit', 'kullan', 'dediğinde', 'surekli', 'turkcell', 'faturalarsa', 'gecerlidir', 'hatasi', 'veriyorbu', 'durumun', 'duzeltilmesini', 'umuyorum']","f, t, l, f, l"
"['papara', 'iyi', 'paycell', 'bir', 'alanda', 'geri', 'kalıyor']","a, g, g, i, p"
"['düzenli', 'şekilde', 'ödememi', 'yapmama', 'rağmen', 'saçma', 'sapan', 'yenilikler', 'getirmişsinizistedigim', 'saat', 'para', 'aktarma', 'yapamaz', 'oldumbelirlediginiz', 'saat', 'tede', 'aktarma', 'yapmak', 'istediğimde', 'yine', 'saçma', 'sapan', 'hatalar', 'veriyoryazıklar', 'olsun', 'sizin', 'düzenlemenize']","ş, ö, ö, y, y"
"['pysel', 'googlea', 'diğer', 'internet', 'erişimini', 'engelliyor', 'ayrıca', 'paysel', 'ilgili', 'yorumlar', 'fazlasıyla', 'olumsuz', 'bundan', 'dolayı', 'payselli', 'olmadım', 'aldığım', 'fiber', 'internet', 'ödemelerini', 'biran', 'önce', 'banka', 'kartlarına', 'açılırsa', 'makul', 'olur', 'interneti', 'faturasını', 'cep', 'tlfhattıma', 'tanımlanırsa', 'iyi', 'olacak']","i, i, i, d, o"
"['paycell', 'yatırım', 'işlemlerinden', 'platin', 'aldım', 'gram', 'satışını', 'yapamıyorum', 'tüketici', 'haklarına', 'şikayet', 'edeceğim', 'böyle']","s, y, p, t, i"
"['kötü', 'bir', 'kart', 'visa', 'tosla', 'iyi', 'benim', 'ikinci', 'paysel', 'alışım', 'kötü', 'bir', 'kart', 'tavsiye', 'etmiyorum']","k, b, v, t, i"
"['sürekli', 'hatası', 'alıyorum', 'böyle']","h, s, h, a, a"
"['boş', 'bir', 'uygulama', 'kullanmaya', 'değmez', 'bence']","k, d, d, b, u"
"['uygulama', 'çalışmıyor', 'böyle', 'kart', 'yok', 'diyo']","k, u, ç, ç, b"
"['berbat', 'hsabim', 'donduruldu', 'posta', 'dan', 'dogruluyom', 'diyo', 'paycell', 'hesabın', 'doğrulandı', 'paycele', 'giriyom', 'diyolar', 'işleminizi', 'gerçekleştiremiyoruz', 'içindeki', 'paramı', 'alim', 'bidaha', 'böyle', 'berbat', 'uygulamayla', 'isim', 'olmaz']","b, p, i, d, h"
"['iyi', 'temiz', 'güzel']","t, i, t, g, i"
"['çamur', 'uygulama', 'ilişkimi', 'keseceğim', 'bilmiyorum', 'bir', 'uygulama', 'seferinde', 'şifre', 'soruyor', 'şifreyi', 'unuttum', 'menüsü', 'size', 'posta', 'doğrulama', 'iletisi', 'gönderiyor', 'size', 'bir', 'posta', 'mesaj', 'gelmiyor', 'lanet', 'olsun']","ş, ş, s, ş, s"
"['hafdada', 'puan', 'verse', 'iyi', 'olur', 'ver', 'miyor']","v, i, o, m, h"
"['uygulamanın', 'allah', 'belasını', 'versin', 'epın', 'bir', 'oyun', 'satın', 'almişim', 'mesaj', 'gelmiş', 'telefonuma', 'bende', 'onaylamişim', 'ayni', 'oyunu', 'almişim', 'benden', 'başka', 'herkes', 'onaylamişim', 'öyle', 'söylüyor', 'türkcell', 'yardımcı', 'olmadi', 'allah', 'yedirmesin', 'haram', 'olsun', 'hesabimdan', 'lira', 'çekmiş']","a, o, g, s, l"
"['kesinlikle', 'uzak', 'durun', 'tefeci', 'dolandırıcı', 'bunlar', 'lira', 'para', 'yukledim', 'paycel', 'karta', 'lira', 'gonderme', 'kesti', 'yurt', 'dısı', 'göndersen', 'okadar', 'kesmez', 'kendi', 'sanalda', 'kartına', 'kesti', 'haram', 'olsun', 'bunlara']","k, t, d, d, s"
"['tane', 'iyi', 'yorum', 'yok', 'yine', 'iyisi', 'eft', 'yurt', 'icinde', 'yurt', 'disi', 'olursada', 'zaman', 'arastiririz']","z, i, i, o, y"
"['kullanımı', 'kadar', 'leş', 'bir', 'uygulama', 'görmedim', 'arayüzünden', 'tut', 'hesap', 'kapatmaya', 'kadar', 'aşırı', 'rezil', 'bir', 'uygulama', 'kullanmaya', 'değmez', 'türde', 'iyi', 'bir', 'sürü', 'uygulama', 'var', 'papara', 'olsun', 'tosla', 'olsun', 'bunda', 'bin', 'kat', 'iyi', 'boşuna', 'vakit', 'ayırmayın']","s, k, b, u, u"
"['bugün', 'para', 'yatırıyim', 'dedim', 'çekti', 'yatırmadı', 'yorumu', 'görüyorsanız', 'lütfen', 'acil', 'paramı', 'geri', 'atın', 'acil', 'lazım', 'öğrenciyim', 'böyle', 'bişey', 'yaparsam']","p, a, l, p, b"
"['arkadaşlar', 'hazır', 'limiti', 'paycell', 'karta', 'kullandirmiyorlar', 'müşteri', 'hizmetlerini', 'aradım', 'hata', 'veriyor', 'diyorum', 'mail', 'diyorlar', 'bir', 'haftadır', 'atıyorum', 'maili', 'cevap', 'yok', 'kötü', 'bir', 'uygulama', 'teknik', 'servise', 'bağlanmıyor', 'mail', 'atınca', 'teknik', 'servis', 'bakicakmis', 'alaka', 'telefondan', 'çözün', 'zor', 'işini', 'adam', 'yapmıyorlar', 'sinir', 'oldum', 'arıyorum', 'mail', 'atın', 'diyor', 'kaç', 'günden', 'beri', 'atıyorum', 'mail', 'ulaşmıyor', 'böyle', 'saçma', 'bir', 'uygulama', 'görmedim', 'saki̇n', 'kullanmayi̇n']","b, s, a, h, t"
"['kötü', 'paycel', 'puanım', 'var', 'kullanamıhoryum', 'puan', 'var', 'ben', 'kullanamıyorum', 'yardımci', 'olabilir']","k, k, v, b, k"
"['sene', 'iyi', 'çalıştı', 'aydır', 'çözüm', 'bulamadilar', 'kere', 'alışveriş', 'yapıyorum', 'giriş', 'güvenliğiniz', 'engellendi', 'diyo', 'sürekli', 'aynı', 'hata', 'cozende', 'yok', 'seviyorum', 'artık', 'kapatcam']","e, g, e, a, ç"
"['otomatik', 'ödeme', 'talimatını', 'iptal', 'etmek', 'bir', 'tuş', 'koysaydınız', 'keşke']","o, t, ö, i, k"
"['tlmi', 'yediniz', 'haram', 'zikim', 'olsun', 'aydir', 'para', 'iade', 'olaca', 'diyorsunuz', 'hala', 'gelmedi', 'para', 'arkadaslar', 'sakin', 'yuklemeyin']","y, g, d, a, s"
"['kampanyalara', 'katılamıyoruz', 'hata', 'veriyor', 'böyle', 'saçmalık', 'olmaz', 'kaç', 'gündür', 'düzelmedi']","k, k, k, g, d"
"['çoğu', 'kampanya', 'turkcelli', 'olanlara', 'özel', 'hazırlanmış', 'paycell', 'müşterilerinin', 'hepsini', 'kapsasa', 'bütün', 'kampanyalar', 'iyi', 'olabilir']","k, k, b, ç, k"
"['ömcelikle', 'merhaba', 'goddugum', 'uygunn', 'olmqyam', 'bir', 'uygulama', 'haline', 'gelmis', 'malesefki', 'herkez', 'hata', 'yapa', 'bilir', 'sonuc', 'olaeqk', 'cozulemeniz', 'yok', 'aciklama', 'kismina', 'uazmayi', 'unuttuk', 'gunu', 'lac', 'hun', 'oldu', 'ses', 'var', 'seda', 'ilgi', 'sifir', 'tavsiye', 'etmiyorum', 'malesef', 'kimseye', 'konuyla', 'ilgilenirsemiz', 'iyi', 'olur']","o, g, y, u, k"
"['merhaba', 'arkadaşlar', 'kolay', 'gelsin', 'tarihinde', 'hesabıma', 'para', 'attım', 'doğru', 'olduğu', 'halde', 'hesabıma', 'para', 'yatmadı', 'haftadır', 'yatacak', 'aynı', 'şeyler', 'söylüyor', 'bunlar', 'hırsız', 'dolandırıcılar', 'haberiniz', 'olsun', 'kullanmayın', 'bence']","h, p, d, p, h"
"['geri', 'zekalı', 'bir', 'uygulama', 'haneli', 'şifrenizi', 'girin', 'yazıyor', 'ancak', 'sadece', 'hane', 'girmene', 'izin', 'veriyor', 'bundan', 'dolayı', 'sürekli', 'şifre', 'yanlış', 'diyor', 'kere', 'yanlış', 'girince', 'hesabını', 'kilitliyor', 'yeni', 'şifre', 'almak', 'istediğinde', 'mail', 'adresine', 'bir', 'bağlantı', 'geliyor', 'oradan', 'şifreni', 'belirliyorsun', 'onayla', 'deyince', 'teknik', 'bir', 'sorun', 'oluştu', 'lütfen', 'sonra', 'tekrar', 'deneyiniz', 'diyor', 'ancak', 'tekrar', 'denemek', 'aradan', 'bir', 'gün', 'geçmesi', 'gerekiyor', 'bir', 'gün', 'sonra', 'yine', 'aynı', 'saçmalık', 'hala', 'bir', 'olsun', 'giremedim']","ş, ş, ş, h, ş"
"['i̇lk', 'önce', 'sürümünüzü', 'düzelti̇n', 'sonra', 'bahi̇s', 'si̇teleri̇nde', 'reklam', 'veri̇n', 'bence', 'şi̇fre', 'yeni̇leme', 'yok', 'kullanmadigim', 'gmai̇l', 'numarasina', 'i̇leti̇', 'gi̇di̇yor', 'zahmet', 'edi̇nde', 'yeni̇', 'gmai̇l', 'butonu', 'yapinda', 'mi̇lleti̇n', 'beyni̇', 'var', 'zaten', 'si̇zde', 'eror', 'verdi̇rmeyi̇n']","g, b, k, s, b"
"['gerçekten', 'turkcellin', 'böyle', 'bir', 'uygulaması', 'olduğuna', 'inanamıyorum', 'giriş', 'yaparken', 'parmak', 'izimi', 'okutmak', 'yerine', 'haneli', 'sifre', 'istiyor', 'paycell', 'karta', 'para', 'atamıyorum']","i, o, g, p, p"
"['buğün', 'arayışımsabah', 'dakika', 'bekledim', 'şuan', 'geçti', 'beklediğiniz', 'teşekkürler', 'deyip', 'saatlerce', 'beklitiyorsunuz', 'yazıklar', 'olsunuz', 'haram', 'olsun', 'hizmet', 'anlayışınız', 'i̇nsanları', 'tel', 'bekletip', 'para', 'kazanmak', 'galiba']","b, g, b, b, b"
"['sabahtan', 'beri', 'paycell', 'musteri', 'temsilcisine', 'baglanmaya', 'calisiyorum', 'oldu', 'hala', 'bekliyorum', 'boyle', 'uygulama', 'olma', 'olsun', 'kisa', 'zamanda', 'turkcellden', 'kurtulacagim']","b, b, t, b, h"
"['uygulama', 'beş', 'para', 'etmez', 'bence', 'uygulamayı', 'komple', 'kaldırın', 'yükleme', 'yapılmasını', 'sağlayın', 'bence', 'telefona', 'yüklenmiyor', 'bile']","t, u, b, t, y"
"['böyle', 'lanet', 'bir', 'uygulama', 'olamaz', 'kesinlikle', 'indirmeyin', 'bile']","u, i, o, o, i"
"['iyi', 'değil']","i, d, i"
"['paycell', 'kartıma', 'para', 'atamıyorum', 'uygulama', 'sürekli', 'olarak', 'sonra', 'tekrar', 'deneyiniz', 'uyarısı', 'veriyor', 'çözüm', 'sıfır', 'şimdi', 'gelip', 'eleştirinin', 'altına', 'uygulamadan', 'hesap', 'profil', 'bize', 'ulaşın', 'derler', 'onu', 'yaptım', 'hatta', 'müşteri', 'hizmetleri', 'telefonda', 'görüştüm', 'kimse', 'sorun', 'çözmüyor', 'uzak', 'durun', 'bence', 'kesintileri', 'yüksek']","d, a, k, h, k"
"['böyle', 'dolandırıcılık', 'görmedim', 'haftadır', 'paramın', 'olduğu', 'belli', 'değil', 'karşıda', 'bir', 'müşteri', 'hizmetleri', 'yetkilisi', 'cevap', 'verebiliyor', 'nede', 'beni', 'tatmin', 'edecek', 'bir', 'cevap', 'alabiliyorum', 'asla', 'güvenip', 'para', 'yaptırmayın', 'son', 'tokatcilar']","g, d, b, d, h"
"['ben', 'kullanıyordum', 'şifremi', 'unuttum', 'bulmak', 'yardımcı', 'olmadı', 'yardımcı', 'olabilir', 'misiniz']","ş, k, ş, u, u"
"['inasanları', 'mecbur', 'bırakıp', 'üçret', 'kesiyorsunuz', 'uygulama', 'yarışmaya', 'katıl', 'ürün', 'kazan', 'bilgi', 'verdi', 'cok', 'basit', 'soru', 'soruyor', 'kazandın', 'yarışmaya', 'katılma', 'üçreti', 'yazdı', 'ula', 'türkcel', 'benimi', 'dolandıracaksın', 'fakir', 'yemez', 'böyle', 'numaraları', 'paraya', 'ihtiyacınız', 'varsa', 'deli', 'kanlı', 'isteyin', 'veriyim', 'ayıp', 'insanları', 'salak', 'yerine', 'koyup', 'dolandırmayın']","k, s, v, u, i"
"['farklı', 'cihazdan', 'profil', 'ayarlarına', 'baktığımda', 'davet', 'kodu', 'gir', 'alanı', 'gözükmüyor', 'bize', 'ulaş', 'alanı', 'gözükmüyor', 'uygulama', 'biraz', 'insanları', 'aldatmaya', 'yönelik', 'hareket', 'yapıyor', 'ayrıca', 'böyle', 'bir', 'uygulamada', 'diğer', 'uygulamalarda', 'olduğu', 'canlı', 'destek', 'olmalıydı', 'sık', 'sorudan', 'sorular', 'yardım', 'merkezi', 'seçenekler', 'tarihte', 'kaldı', 'umarım', 'hesabımı', 'sil', 'seçeneğini', 'bulabilirim']","d, b, u, c, g"
"['merhaba', 'bugün', 'yorumları', 'genelde', 'okudum', 'çogu', 'insan', 'benimle', 'aynı', 'sorunları', 'yaşıyor', 'sürekli', 'giriş', 'yapamıyorum', 'cevaplamışsınız', 'info', 'üzerinden', 'ulaşın', 'çözelim', 'ben', 'inden', 'tarafa', 'yazıyorum', 'size', 'ayrıca', 'artık', 'bana', 'dönüş', 'bile', 'yapma', 'zahmetinde', 'bulunmuyorsunuz', 'benim', 'telefon', 'hat', 'yada', 'ödemeleri', 'sorun', 'yok', 'ona', 'ragmen', 'sorunu', 'çözemezsiniz', 'madem', 'öyle', 'böyle', 'bir', 'uygulama', 'indirdiniz', 'ben', 'türkcell', 'severim', 'şaşırdım', 'paycell', 'gerçekten', 'anlamıyorum', 'iki', 'yıldır', 'sadece', 'türkcell', 'verdim']","y, ç, y, i, c"
"['arkadaşlar', 'bence', 'indirmeyin', 'parayı', 'birine', 'gönderiyorsun', 'dekont', 'veriyo', 'kanıt', 'oluyo']","i, b, p, g, b"
"['gram', 'iyi', 'değil', 'kartla', 'sanal', 'dışında', 'alışveriş', 'yapılamıyor', 'önermiyorum', 'kartı']","ö, d, k, a, y"
"['uygulama', 'güzel', 'olabilir', 'güvenlik', 'konusu', 'saçma', 'tablete', 'yükledim', 'açılmıyor', 'sebebi', 'wifi', 'den', 'çıkmamı', 'istiyor', 'i̇yi', 'benim', 'tablet', 'gsmli', 'değilki', 'konu', 'bir', 'düzenleme', 'yapmalısınız']","t, b, s, t, t"
"['tablete', 'yükleyip', 'şifresi', 'şusu', 'busu', 'iki', 'saat', 'uğraştım', 'sürpriiiz', 'uygulama', 'sadece', 'sim', 'kart', 'takılı', 'bir', 'cihazdan', 'kullanılabiliyormuş', 'böyle', 'saçma', 'bir', 'şart', 'koyduğunuzu', 'anlamadım', 'kullanılmak', 'istemiyorsanız', 'kapatın', 'servisi', 'gitsin', 'neyse', 'ben', 'paparaya', 'devam']","t, c, y, c, k"
"['işe', 'yaramıyor', 'uygulama', 'haneli', 'şifreyi', 'gir', 'diyor', 'hane', 'yazabiliyoruz', 'sadece', 'türkcell', 'den', 'çıkıcam', 'zaten', 'böyle', 'hat', 'böyle', 'uygulama', 'yapandan', 'beklenir', 'böyle', 'hat', 'olmaz', 'olsun']","ş, h, ş, y, i"
"['böyle', 'bisey', 'yok', 'eskiden', 'puan', 'geliyordu', 'simdi', 'fazla', 'puan', 'geliyor', 'sala', 'topladan', 'hafta', 'puan', 'gelirse', 'haftada', 'ancak', 'alabiliriz', 'öylede', 'olmuyor', 'paycelli', 'indireli', 'yıl', 'oldu', 'hala', 'puandayım', 'neymiş', 'efendim', 'süresi', 'doluyormus', 'lütfen', 'artık', 'hafta', 'puan', 'vermeyi', 'bırakın', 'eskiden', 'paycellde', 'fazla', 'haftada', 'bir', 'yüklüyorduk', 'simdi', 'bile', 'yükliyemiyoruz', 'lütfen', 'hatayı', 'düzeltin']","h, h, f, h, h"
"['paycelli', 'kullanmama', 'rağmen', 'paycell', 'aylık', 'kesinti', 'yaptı', 'güzel', 'çalıyorsunuz', 'aldığınız', 'para', 'haram', 'olsun', 'başka', 'nerden', 'çalarız', 'bakıyorsunuz', 'sonunda', 'paycell', 'içinde', 'yaptınız', 'bence', 'çeki', 'düzen', 'verilmesi', 'gerek', 'aksi', 'halde', 'müşteri', 'kaybedersiniz']","m, a, k, h, ç"
"['böyle', 'devam', 'paycell', 'yakında', 'uygulamayı', 'kimse', 'kullanmayacak', 'iyice', 'batıyorsunuz', 'arkadaş', 'davet', 'eti', 'geri', 'getirip', 'marketteki', 'herseyi', 'kaldırmak', 'saçma', 'bir', 'önce', 'kendinize', 'gelin']","g, h, b, i, k"
