Yorum,Puan,Tarih
İyi,4,2022-04-20 18:17:02
Her zaman 100 puan veriyor biraz fazla vermeli,3,2022-04-20 18:01:33
Süper,5,2022-04-20 17:58:33
Süper,1,2022-04-20 17:23:02
cok iyi,5,2022-04-20 16:56:19
Güzel Bi uygulama,5,2022-04-20 16:56:04
Boştur loo kart aldım 2 yıldır kullanıyorum hiçbir işe yaramıyor gerek yok indirmeyin boş boş vakit kaybı 🤧,1,2022-04-20 16:45:00
guzel,5,2022-04-20 16:37:40
Uygulamaya giremiyorum,1,2022-04-20 16:00:38
Hiç yüklemeyin boş bir uygulama,1,2022-04-20 15:59:48
👍,5,2022-04-20 15:52:05
Berbat bir uygulama giriyorum güvenlik nedeniyle hesabınız dondurulmuştur şifre yenileme butonuna basın öyle bi buton yok sorunumun çözülmesini arz ederim random: jsudkdmxjdkxmxnnzjzjzjz,5,2022-04-20 15:46:24
Uygulamaya hiçbir şekilde giriş yapılamıyor çok vasat,1,2022-04-20 15:13:44
Hesabım neden kapandı,1,2022-04-20 15:06:04
Güncelledikten sonra sisteme giriş çok geç yapıyor sonra otomatik sistemden çıkıyor neden böyle oluyor anlamadım,1,2022-04-20 14:34:59
Uygulamayı daha yeni indirdim ancak telefon numaramı girince hiç üye olmadığım halde şifre istiyor,5,2022-04-20 13:49:59
Yeter indirimyorum indiriyorum sık kullanılan e posta diyip diyip duruyor yeni e postaya yeni açıyorum yine aynı 10 defa denedim yine aynı sildim indirdim gene aynı yeter kullanmıyorum kullanılanlara silecem umarım geri dönüş yaparsınız ldlellrlleşsşeşeşşelsmsjıeoeoşwiiwldmfkfkofpsşqişrçfökkdkpğwiişf,1,2022-04-20 13:32:09
Salla Topla çalışmıyor,1,2022-04-20 12:05:39
benikine girilmio,1,2022-04-20 11:21:37
👍👍👍,5,2022-04-20 11:13:28
Bence fana değil en azından Turkcell Güvencesiyle tek sorunu Atmlerden para cekerken biraz pahalı komisyon ücreti çok alıyor örnek 50 TL atm çekiminde 3.60 yada 6.60 TL istiyorlar Bence BU komisyon ücretleri biraz pahalı uygulama diyecek bir şey yok önemli eksik musteri Temsilcisileri yok toslada var ciddi bir durum birde market puanları biraz DAHA gerileyebilir,5,2022-04-20 10:46:48
çok güzel,5,2022-04-20 09:35:48
Cok guzel bı uygulama,5,2022-04-20 08:59:34
😀,5,2022-04-20 08:04:34
cok iyi,5,2022-04-20 04:32:25
Merhabalar şok mağazasından aldığım paycell kart yeni bir hesap açmak istediğimde işleminize devam edemiyoruz hatası veriyor ve kartı kullanamıyorum bunun düzeltilmesini arz ederim,1,2022-04-20 03:13:35
1000 puanla GB istedim mj olarak geldi ama kullanılmıyor nereye varacaksınız bu saktekarlıkla turceliyim ama Türk Telekoma geçecem küfür edecektim ama ramazan dır diye azımı bozmucam alçaksınız turcellde paycellde,1,2022-04-20 01:28:39
e-f-s-a-n-e.,5,2022-04-20 00:42:36
Güzel,1,2022-04-20 00:41:02
Paycell harikası,5,2022-04-19 23:14:16
En ihtiyacım olduğu zamanda hata verdi maç biletini paycell kartımla alacaktım bakiye yüklerken onay kodu sayfasından sürekli geri atıyordu ve bileti alamadım,1,2022-04-19 20:43:13
iyi,5,2022-04-19 20:10:12
Teşekkürler olay düzeltildi,5,2022-04-19 20:03:14
Bu çok güzel,5,2022-04-19 19:49:39
harika baskada diyecek birşey yok 😚,5,2022-04-19 19:29:32
işime yarıyor teşekkürler ama 1 ay beklemek çok uzun tl kullanmak için kısa olsa süper olabilir,5,2022-04-19 19:02:25
iyi iyi,4,2022-04-19 17:52:54
Mükemmel,5,2022-04-19 17:42:14
wifini kapat diyor wifiyi kapatinca da paycell internetsiz calismiyor uzgunuz diyor bir turlu giris yapamadim su uygulamaya💀💀,1,2022-04-19 17:38:39
iyi bir uygulama,5,2022-04-19 16:57:19
Berbat bir uygulama arkadaş sana puan atıyor bir ay bekliyoruz o yüzden berbat bir uygulama,1,2022-04-19 16:42:41
güzel,5,2022-04-19 15:52:25
yararlı bir uygulama,5,2022-04-19 14:38:39
Çok iyi,5,2022-04-19 14:31:31
Yüklediğim bakiye 0 gözüküyor ama kartlarına girince var cüzdanda 0 nedeni bilen varmı,4,2022-04-19 14:06:01
gayet kullanışlı teşekkürler,5,2022-04-19 13:33:03
🤌,5,2022-04-19 12:53:55
Güzel bir uygulama sürekli kullanıyorum ama karta para yüklerken sorun oluyor şubat ayında hesaptan paycell karta 200 tl para yükledim para askıda kaldığı için karta geçmedi. Kaç defa arayıp mail attım sorun çözülmedi. Nisan ayında aynı hesaptan 500 tl para yükledim oda askıda kaldığı için karta yüklenmedi. Sürekli mail atmama rağmen Bi türlü parayı yükleyemediler. Sorunu biran önce çözersiniz çok iyi olur.,3,2022-04-19 12:33:56
çok iyi,5,2022-04-19 12:17:14
çok güzel,5,2022-04-19 11:58:20
Çok beceriksiz bu turksel uygulamaları hesabıma giris yapamıyorum kod geliyor giriş yapıyorum olmuyor,1,2022-04-19 11:34:52
Yani iyi değil gibi çünkü puan az veriyo😐,1,2022-04-19 11:19:03
Dolar Euro alabilsek daha iyi olur,5,2022-04-19 10:43:46
Satın alımlarda fatura etkilenirmi,2,2022-04-19 10:34:55
Hata veriyor açılmıyor paycell duduruldu diyor sürekli,1,2022-04-19 09:35:38
Uygulamaya her girdiğimde artık Güvenlik nedeniyle oturumunuz kapatılmıştır diyor ve hesabıma giremiyorum neden kapattıklarını hiç bir yere soramıyorum en kısa sürede yardımcı olun lütfen,2,2022-04-19 07:13:46
Açıklamayı okudum fakat göremedim Başkq bankayq hesaba havale para transferi ücretsizmi yapılıyor ?,1,2022-04-19 05:27:07
İşlemlerimi rahatlıkla yapıyorum. Ekstra ücret talep edilmemesi de bizim için güzel. Teşekkür ederim.,5,2022-04-19 04:54:36
İyi,5,2022-04-19 03:38:20
"Uygulama çalışmayacaksa sistemde hata var diyeceğinize, uygulamaya üyelik alımını durdurun. Üç defa para yüklemesi yaptım, hiç biri gerçekleşmedi. Turkcell gibi bir firmanın sistemsel hata veren uygulamaya üyelik alımına devam etmesi ve markette uygulamayı tutması gerçekten güven kaybetmesine neden oluyor, üzücü.",1,2022-04-19 00:59:06
Hazir limitimden 900 tl kadar baska bankadaki hesabima transfer yaptim. Faiziyle birlikte faturama isledi ama hesabima herhangi bir transfer gelmedi. Resmen 900 tl mi gasbettiler. Koskoca turkcell musterilerini dolandiriyor. Mahkemeye verecegim ama allah bilir kac senede sonuclanacak. Parami kim yediyse haram zikkim olsun. (Tam 9 günün ardından mesele çözüldü. Bu süreçte de sürekli bilgilendirildim. İnceliyoruz inceliyoruz inceliyoruz dediler sonunda da hallettiler.,3,2022-04-19 00:50:05
Paycel giriş yapamıyorum,1,2022-04-19 00:20:08
Harika,5,2022-04-18 23:53:00
Benim hesabım donduruldu diyor e postaya doğrulama geldi gösterip gelmiyor bunu düzeltirseniz sevinirim,1,2022-04-18 23:21:09
Cookkk iyi,5,2022-04-18 22:50:09
Güzel bir uygulama,5,2022-04-18 21:39:52
Rezil bir uygulama.,1,2022-04-18 21:26:03
Tüvtürk,1,2022-04-18 20:44:57
Paycelll her numarayamı özel mesela benim adıma 3 tane hat var 3'ü için mi hazır limit veriliyor Bilgi alabilirmiyim yoksa 1 hattami yansıyor hazır limit,5,2022-04-18 19:50:59
Ben paycell i beğendim ama puan ücretsiz olsa çok iyi olurdu,2,2022-04-18 19:37:00
Ya nasıl bir çalışma stratejiniz var 16 nisanda yapı krediden havale yaptim paycell hesabıma bugün ayın 18 i para hala hesabıma geçmemiş yav su işlemi biraz hızlanırsanız,1,2022-04-18 19:34:48
Iyi,5,2022-04-18 18:52:34
süper,5,2022-04-18 18:49:52
Havale ve EFT problemi var .Kredi kartı ile yüklemede %1 komisyon alınıyor Bu sebeple Eft ve havale secenegini kullanmak istiyorum.4 kere havale yaptım.3 u gelmedi.Gelen havale de 5 gun surdu.Diğer iki havalem icin taleplerim devam ediyor.Yazılı cevap verecekler.Bugun 3. gun :((,1,2022-04-18 17:56:33
Açılmıyor,1,2022-04-18 17:48:05
Mükemmel bir sistem çok kullanışlı yeni güncellemeleri sabırsızlıkla bekliyorum,5,2022-04-18 17:42:15
Ben çok beğendim ve Memnunum gerektiği zaman kullanıyorum ama Lütfen Limiti biraz arttırsanız çok iyi olur teşekkürler,5,2022-04-18 17:30:12
Ben eski google hesabımla paycell li indirmiştim ama daha sonra sildim ve o google hesabımda silindi ve paycell uygulamasını şifresini unutum şimdi yeni google hesabımla paycell uygulamasını indirdim ama telefon numarasını yazdımda hemen bana diyoki eski hesabınız donmuştur deva etirmek için yenileyin diyor yenileye basınca bana eski google hesabımı veriyor ve diyorki hesabınızı doğrulayın ve eski hesaba şifreyi gönderiyor ama o hesap silindi için ben o şifreyi görmüyorum ve uygulama açılmıyor,5,2022-04-18 16:42:44
Hayatımda gördüğum en iğrenç uygulama sipariş iptali yaptığım ürünün parası hala hesabima yatmadı ve müşteri hizmetlerini aradığımda istenilen herşeyi defalarca yapmama rağmen hata vermesi tam bir başarısızlik,1,2022-04-18 16:34:24
Her hafta salla topladan 100 puan veriyor. Puanlar diğer haftaya aktarılmıyor ve en ucuz ürün 1k puandan başlıyor. Dalga geçiyorlar.,1,2022-04-18 16:30:30
hiç önermiyorum para çekmek istiyorum işlem geçersiz diyor,1,2022-04-18 15:33:51
Iyi,5,2022-04-18 14:04:08
Çok iyi bir şey ihtiyacını karşılıyor Çok memnunum,5,2022-04-18 13:55:23
gir8ş yapamıyorum yardım edin,5,2022-04-18 13:38:05
Fatura ödemelerinde problem var. Acilen çözülmesi gerekiyor.,1,2022-04-18 13:23:10
Çok iyi bir uygulama tavsiye ederim,5,2022-04-18 12:58:38
Yorumları okudum hemde program indirilirken.tam bizim uygulama olmuş tam dolandırıcı bunlar diye yapmadıkları kalmış. Programi sileceğim o belli oldu.,1,2022-04-18 11:24:35
Mükemmel,1,2022-04-18 11:17:04
HAZIR LİMİTİMİ KULLANAMIYORUM ÇOK AMA ÇOK SAÇMA BİR OLAY MÜŞTERİ HİZMETLERİNİ ARADIM MAİL GÖNDERDİM AMA SONUÇ ALAMADIM..,1,2022-04-18 11:09:16
guzell,5,2022-04-18 10:44:13
payceli seviyorum. işimi kolaylaştırıyor.,5,2022-04-18 10:33:43
harika bir uygulama,5,2022-04-18 10:08:24
👍,4,2022-04-18 09:21:38
gurbaneyyyy gurbaney neyse giriş im çok ergence oldu ama çok teşekürler payselll 5000 puan ile 2 g.b kazandımmm,5,2022-04-18 04:07:31
çok iyi bi uygulama,5,2022-04-18 03:38:10
İyi,5,2022-04-18 02:58:16
👍,5,2022-04-18 02:17:44
süper,5,2022-04-18 02:09:31
Kartıma 6000 tl yükledim birkaç harcamadan sonra kartımı kullanma kapattılar şimdi açılsın diye bekliyoruz bakalım! bu arada günlük limit 2000 tl miş yeni öğrendim çokta kullanışlı değil malesef,1,2022-04-18 01:40:41
Çok iyi bir uygulama Bütün Turkcell uygulamalarının olduğu gibi,5,2022-04-18 01:08:57
iyi,5,2022-04-18 00:49:32
çok iyi uygulama,5,2022-04-17 23:05:42
"Güzel,fakat 100 puan tek veriyorlar ve verdiği 100 puanlar süreli:(",3,2022-04-17 21:26:23
Çok iyi,5,2022-04-17 19:58:28
iyi,5,2022-04-17 19:03:38
Ek pllrörşçrit,5,2022-04-17 18:50:14
Nakit para cekemezsiniz baska hesaba para yollayamazsiniz 50 tl kredi kullansan 10 tl komisyon aliyor..bence hic bulasmayin..papara veya puups cok daha saglam,1,2022-04-17 18:21:16
Kullanıyorum güzel,5,2022-04-17 17:37:52
Bunu indirdim uygulamayi TLF numarasını girdim 4 haneli şifrenizi girin diyo bu şifreyi anlamadım,5,2022-04-17 15:49:50
👍👍👍,5,2022-04-17 15:44:56
"Gerçekten boş, gereksiz bir kart. En ufak bir işlem yaparken bile kriz getirtecek bir kart. Asla almayın ve kullanmayın da. Kesinlikle tavsiye etmediğim bir uygulama ve kart...",1,2022-04-17 15:42:02
Çok kötü bence nedeni ise boş yere hesabımı durduk yere dondurdular sizsiz olun paycell kart almayın,1,2022-04-17 15:40:47
Hiç güzel değil,1,2022-04-17 15:10:39
Arkadaşımı çağırdım bana puan gelmedi ama arkadaşıma msj geldi bu durumu düzeltin acil!,1,2022-04-17 14:31:12
Aslında çok güzel ve kullanışlı bir uygulama arkadaşlarıma ve akrabalarıma indirmelerini söyledim uygulamayıda gayet beğendiler uygulamayı ailecek kullanıyoruz indirmenizi tavsiye ederim,5,2022-04-17 14:14:15
كتير حلووووزززووزوزززوووووزززز,5,2022-04-17 13:40:39
Çok iyi,5,2022-04-17 12:31:37
idare eder,5,2022-04-17 12:23:31
Süper bir uygulama çok kullanışlı,5,2022-04-17 12:07:49
Genel olarak iyi ama aylardır istanbulkart para yüklenmiyor kurumla bağlantı sorunu yaşanıyor yazısı geliyor ayrıca katıldığımız şartları yerine getirdiğimiz kampanyalar özel şekilde gözükse daha iyi olur,3,2022-04-17 09:52:05
Benimki açılmıyor Allah belanızı v*****,1,2022-04-17 09:25:06
Guvenilir,5,2022-04-17 01:10:20
Sizin uygulamanıza başlayayım wifiyi kapat diyor kapatıyorsun internet bağlantısı gerekiyor diyor amk,1,2022-04-17 00:05:44
Güzel teşekkür ederim ama limitleri 5 bin TL yukseltseler daha. Güzel olur,5,2022-04-17 00:04:34
Güvenlik nedeniyle oturum açılmıyor hatasını gecemiyorum yeniden kurmak istiyorum kuramiyorum,4,2022-04-16 23:54:09
Iyi,5,2022-04-16 22:02:41
"Hayatımda trcell kadar beceriksiz uygulama yapanı görmedim. Günlerdir hesabıma giriş yapamıyorum. Numaramı yazıyorum kod geliyor kodu giriyorum ""İşleminize devam edemiyoruz lütfen daha sonra tekrar deneyin"" hatası veriyor. Daha sonra dediğiniz kaç gün acaba? Müşteri hizmetlerime mail atıyorum cevap yok! Allah kimseyi bu uygulamayı kullanmak zorunda bırakmasın. Ki ben de kullanmak zorunda değilim zaten. Kullanmayacağım da...",1,2022-04-16 22:02:38
👎👎👎👎,1,2022-04-16 21:42:05
Tanım,5,2022-04-16 21:35:13
Uygulama türkseliler icin ise yarıyo,5,2022-04-16 20:35:05
Uygulamaya giris sifremi unuttum e postama link gonderildi diyor ama gelen bisey yok e postaya ???Acill çozümmmmmm bekliyorummm,2,2022-04-16 20:16:30
Hiç ilgilenilmeyen saçma bir uygulama boşuna indirmeyin,1,2022-04-16 20:03:00
Çok güzel Bi uygulama herkese tavsiye ederim,5,2022-04-16 19:57:48
İyi tmm,5,2022-04-16 19:47:29
Sistem harika,5,2022-04-16 19:44:48
Paycell uygulaması yüklenmiyor,2,2022-04-16 18:51:30
Uygulama hata vermeye başladı. Kaldırdım yükleme yapmak istediğimde yükleme de yapmıyor.,3,2022-04-16 17:45:10
Şifremi unuttum eski e posta ya mesaj yolluyor e postayı değiştiremiyorum,1,2022-04-16 17:29:32
Vodafonelular Giremiyor,1,2022-04-16 16:50:54
superrr,5,2022-04-16 16:31:30
Uygulama interneti kapatmamı istedi kapattım sonra da internetsiz kullanılamaz dedi,1,2022-04-16 15:16:39
Çok güzel bir uygulama tavsiye ederim,5,2022-04-16 14:56:50
Rezalet. Benim. 100. Panı ı. Vermiyor,1,2022-04-16 14:42:43
Hesabımı doğrulamak için banka hesabından para yükle diyo yaptım ama hala aynı bu sorunu düzeltebilirmisiniz,5,2022-04-16 14:41:26
on numara bes yildiz,4,2022-04-16 13:37:44
Bu uygulamayı kullanmak için Turkcell'limi olmam gerekiyor ?,5,2022-04-16 13:04:18
👍,3,2022-04-16 12:59:28
Çok güzel bir uygulama,5,2022-04-16 12:40:09
Merhabalar ben kendi numaram adına acılmış hesabıma giriş yapamıyorum sifremi unuttuğum için yenilemek için kullanılan e posta adresi benim degil ve şuan kullanılmıyor onunda şifresi yok elimizde bunun yuzunden giriş yapamadım e posta adresımı degiştırmem için yardımcı olursanız sevinirim kullanmak istediğim bir uygulama,5,2022-04-16 12:19:30
guzel basarili,5,2022-04-16 11:33:01
Şifremi unuttum bir türlü yenileyemiyorum çok saçma bir uygulama dkdkdkfk,1,2022-04-16 11:02:16
Bu paycell de Pubg Mobile puanlarla uc veriyor bu hangi haltarda geçerli,3,2022-04-16 09:32:24
Güzel ama...,5,2022-04-16 08:38:09
Uygulamada salla topla diye birşey var sürekli 100 puan veriyor en ucuz şey 700 puan bunu almak için bile puan biriktiremiyorum siliniyor puanlar,1,2022-04-16 05:21:13
Bende paycell hesabı açılmıyor sebebi ne olabilir,5,2022-04-16 03:11:37
Çok güzel bir uygulama,5,2022-04-16 01:51:38
Her hafta verdiğiniz 100 puanla hiç bişey yapılmıyor ya kampanyayı kaldırın yada adam akıllı hediye verin,1,2022-04-16 00:12:49
E posta degişti hesaba bi türlü giremiyorum.,1,2022-04-15 22:40:38
yolu açık olsun,5,2022-04-15 22:10:57
Hesaba para aktarımında sıkıntı var 2 hafta olmasına rağmen hesaba para geçmedi. İlgilendiklerini söyleyip hiç birşey yapmıyorlar. Kesinlikle kullanmanızı tavsiye etmem.,1,2022-04-15 21:59:09
Herşey mükemmel uygulama çok güzel,5,2022-04-15 21:43:19
Amk çocukları İnternet neredesin amk,1,2022-04-15 21:39:33
çok iyi bir uygulama,5,2022-04-15 21:37:11
çok teşekkür ederim harika bir uygulama,5,2022-04-15 21:27:57
"İlk defa giriş yaptım, direkt hat sahibinin kimlik bilgileri düştü. Değişmiyorda bu nasıl dijital banka uygulaması.. Bilgiyi girdirtmiyor, girilenide kabul etmiyor. Bize ulaş bölümü var log dosyası indirtiyor devamı yok...",1,2022-04-15 18:15:05
İğrenç,1,2022-04-15 17:57:13
İn kol,3,2022-04-15 16:53:14
Guvenliniz icn oturm kapatilmistir dior tekrar giremiorm sifremi biliom amaa giremiorm,1,2022-04-15 14:56:20
Ibana transfer ve fatura odemesi yapilmiyor sistem hata veriyor uygulamadanda ekran goruntusu alip mail attim 1hafta oldu ama donus yapilmadi ve hata duzelmedi,1,2022-04-15 14:48:03
hediyeler biraz daha bol olsa daha iyi,5,2022-04-15 13:32:27
Yav boyle bir sacmalık görmedim düzeltmeleri gerek.,1,2022-04-15 13:21:11
Mesela İsimli Kart Sipariş Edebilelim Yada Uygulamadan 3D Secure Onayı Verebilelim Veya Ziraat Bankasından Para Yüklemek Azıcık Sıkıntılı Oluyor Ama Sıkıntılı Birkaç Kez Denememiz Gerekiyor Bide Atm Ücretlerini Değiştirebilirseniz Çok Güzel Olabilir ve Arayüzü de Değiştirebilirsiniz Uygulamanın Bu Önerilerimi Dikkate Alın İleride Çok İşinize Yarar Beni Dinleyin Lütfen,2,2022-04-15 13:16:48
Efsane bence,5,2022-04-15 13:00:11
Turkcelliler için,4,2022-04-15 12:35:33
Çok iyi,5,2022-04-15 12:21:55
Kesinlikle uzak durun 1500 lira hesaba havale yaptım para gözükmüyor ekran görüntüsü dekontunu istediler gönderdim işlem sürüyor diyor 10 gün oldu uzaya çıkıldı halen işlem sürüyor diyor kaç kez aradım sizi anlıyoruz diyorlar niye anlıyorlarsa paramı koparım hemen silicem halen ni çözüm yok 1500 liram gasp edildi 10 gündür inceliyorlar,1,2022-04-15 10:15:49
Arkadaşlar ben uygulamayı İnternet yapmak için kullanıyorum ve harika,5,2022-04-15 09:19:57
Üyeliğimi nasıl iptal edebilirim bu ne ya adım başı para boşuna indirmeyin,1,2022-04-15 08:58:07
Mükemmel,5,2022-04-15 07:19:22
Sorunmu var yapıyorum olmuyor açılmıyor,5,2022-04-15 05:13:11
Defalarca yükleme yapmama rağmen paycel karta geçmiyor para üstelik uygulamanın bize ulaşın kısmına tıklayınca paylaş olarak çıkıyor iletişim bilgileri yerine mail adresine dekontları attım error olarak hata veriyor gitmiyor mailler gerçekten bu ara problemli paycel bir çözüm bulmanız gerek acilen,1,2022-04-15 03:30:09
Mükemmel,5,2022-04-15 03:24:57
"Numaramı ve e-posta adresimi girdikten sonra devam et butonuna tıklıyorum ve ""işleminize şuan devam edemiyoruz daha sonra tekrar deneyiniz"" diyor 1 haftadır bununla uğraşıyorum kartımı aktive dahi edemedim yardımcı olur musunuz?",1,2022-04-15 00:59:04
pacell kart,5,2022-04-14 23:01:30
Paycell iyi ama hazır limiti biraz daha arttırmanız lazım 500 değilde 1000 TL olması lazım,4,2022-04-14 22:40:41
İlk çıktığından beri kullanıyorum hiç bir sıkıntı yaşamadan kullanmaya devam ediyorum. Sadece biraz puan kazanacağımız kampanyalar ekleyebilirmisiniz... Eskiden daha fazlaydı hep katılırdım şimdi neredeyse hiç yok...,5,2022-04-14 21:41:19
çok güzel bir uygulama,5,2022-04-14 21:31:31
Yeterki internet versin kıral uygulama 🥰🥰,5,2022-04-14 21:30:34
Uygulamada 300 tl param var onu vemiyor birde güvenlik gereği giriş iptal oldu diyo sildim yeniden yükledim gene aynı gene aynı.,3,2022-04-14 21:09:01
5 beş yildiz vedime bakmayin 1000 pun aldim ondan sonra girdiğimde tekrar deneyi yaziyoru yani kötö dermişim çok iyi 🖕,5,2022-04-14 21:05:02
Diyor ki wi-fi yi kapatın diyo kapatıp devamet dediğimde bu uygulama internetsiz kullanılamaz diyo,2,2022-04-14 20:10:07
süper bir uygulama,5,2022-04-14 19:44:21
iyiiiiiiiii,5,2022-04-14 19:31:12
Lütfen şu güncellemeyi geri alın yada iki ayrı program sunun. Biri yeni telefonu olmayanlar için diğeri yeni telefonu olanlar için. Bir çoğumuzun aile bütçesini ve is akışını sağlamak zorunda bin dolar ayırım telefon alamıyoruz. Rica ediyorum cuzun şu sorunu yeniden program yazmayın.,1,2022-04-14 19:09:52
Uygulama çöpten farksız internetim açık ama internete bağlan diyo mobil veriyi açıyom paranızdan yemez diyo 4 tl yedi boşu boşuna kesinlikle yüklemeyin,1,2022-04-14 17:46:08
Kyc dogrulamasinda özcekim hata veriyor gına geldi ugrasmaktan,1,2022-04-14 16:12:06
Hesabimdaki 387 lira limit birden bire kayboldu niye cektiniz parayi meil.atiyorum cvp bile vermiyorsunuz,1,2022-04-14 15:50:42
ben sizden çok memnunum böylesi kolay yükleme ve alışveriş ovmeye değer iyiki varsınız teşekkür ederim,5,2022-04-14 15:27:32
Süppe,5,2022-04-14 14:58:45
Çok güzel,5,2022-04-14 13:18:33
süper,5,2022-04-14 12:41:30
iyi,5,2022-04-14 12:40:32
Oturum açamıyorum sistem oturumunuz kapatılmıştır diyor,1,2022-04-14 12:05:55
Otomatik ödeme talimatı vermiştim. Dün son günüydü ödenmemiş. Bugün kendim ödedim.,1,2022-04-14 09:59:43
Guzel uygulama keşke bana daha fazla puan verseler,5,2022-04-14 09:30:54
Salla toplada sallayınca baloncuklar hareket etmiyor boş yerede girip sallamayın,1,2022-04-14 09:17:35
"Bence kullanmayı denemeyin bile. Tarafıma tanımlanmış olan hazır limiti banka hesabıma ibana transfer seçeneği ile gönderdim. Ancak ne banka hesabıma gitti bu ücret ne de tekrardan paycell kartıma yüklendi. An itibariyle bir aya yakın bir süre geçmesine rağmen hala çözüm yok. Defalarca arayıp durumu bildirmek, şikayet formu oluşturmak da bir çözüm oluşturmadı. Bütün Turkcell kullanımlarında yaşadığım sorun gibi bu sorunun da ne çözümü var ne farklı bir yolu.",1,2022-04-14 03:33:50
Çok kk gülüm,5,2022-04-14 03:26:08
Harika,5,2022-04-14 02:24:55
Porfect,5,2022-04-14 01:04:05
Güzel birşey peycell,5,2022-04-14 00:53:45
Sala toplada daha fazla puan verse süper olur,5,2022-04-13 23:31:56
Bu ne biçim bir uygulama telefon no giriyom mesaj gelmiyor,1,2022-04-13 23:18:40
Sistem atıyor güncelleme şart daha sonra deneyin diyor,4,2022-04-13 23:00:39
muhteşem bir uygulama,5,2022-04-13 21:27:37
Hesabım donduruldu yeni şifre belirle diyo basacak buton bile görünmüyor ne kadar rahatsız edici berbat bişey ya siliyoruz indiriyoruz olmuyo numara giriyoruz donduruldu yeni şifre belirle diyo yeni şifre basacak buton bile yok iğrenç ya,1,2022-04-13 18:43:44
Zorla puan biriktiyoruz ama yinede güzel bir uygulama,5,2022-04-13 18:36:28
Uygulamaya para felan atmayin ne hesap doğrulama yapılmıyor ne de alışveriş için bankadan para gönderdim 1 haftadır hesabıma geçmiyor tek dedikleri şey inceleme devam ediyor herşey gönderdim hala hiçbirşey yapılmıyor rezaletiniz...,1,2022-04-13 18:34:33
Daha denemedim,3,2022-04-13 17:43:09
Super,5,2022-04-13 16:52:52
"Size yolunda diyebilirmiyim kısaca, tarife üzerine fatura bindirip.Kat,kat fazlasini alıyorsunuz .Abonelerden gerçekten El- İnsaf...",2,2022-04-13 16:36:29
Çok güzel bir oygulama olmuş❤️🤜🤛,5,2022-04-13 16:11:36
Allah sizin belanızı versin yaa 50 TL para yükledim gelmedi hesaba Garanti üzerinden payceell IBANına attım gelmedi param haram zıkkım olsun...,1,2022-04-13 16:04:35
güzell,5,2022-04-13 15:46:10
Çok güzel,5,2022-04-13 15:14:09
Kullanmayın kulllandırmayın kalitesiz hizmet 10 gündür paramı hesaba yansıtmıyorlar müşteri hizmetleri berbat mail atıyorum cevap vermiyorlar arıyorum bilgi vermiyor,1,2022-04-13 15:09:19
Harika,5,2022-04-13 14:53:21
կատարյալ,5,2022-04-13 14:41:22
الله اكبر.sen yaparslnda güzel olmazml ulu HzAllaahu zulcelaalim.kullarln fiillerini kendilerinden biliyorlar.sen cümlemizi sana hayran ediver Güzel Allâhlm,5,2022-04-13 14:19:55
Kötü nokta bitti.,1,2022-04-13 14:10:58
guzel,5,2022-04-13 14:01:35
Uygulaması çok iyi ve mükemel,5,2022-04-13 13:23:21
Ben turkcelli değilim bana neden sürekli mesaj atıyorsunuz ? Mesaj göndermeyi bırakın artık,1,2022-04-13 12:47:54
Ehh iste,1,2022-04-13 11:45:56
Güzel fakat paycell puanlarımla farklı hediyeler almak daha güzel olurdu hep aynı hediyeler malesef,5,2022-04-13 11:39:24
Hesabiniz dondurulmustur diyor baska bisey demiyor sifreyi yenileyin diyor sayfada takili kaliyor duzeltin 5 yildiz vermemin sebebi uste gurunmesi,5,2022-04-13 10:41:03
Çok iyi,5,2022-04-13 10:38:59
Güzel 👍,5,2022-04-13 10:01:34
xeşı haaaa,5,2022-04-13 09:01:09
"1) musteri hizmetlerine baglanmak istediginizde whatsappta logfile gonderimi şokuyla karsilasiyorsunuz ( adeta muhatabiniz yok. mail atiyorsunuz, sizi aradik ama ulasamadik diyorlar. yahu bi daha arayin , veya siz de mailime mail ile cevap verin. 2) iban ile gönderdiginiz para gec yatıyor, hatta iki seferdir hesabıma iade oluyor ( fast ile göndermeme rağmen) 3) verdikleri puanlarla agaç dikiyorsunuz sözde, ancak sertifika falan gelmiyor.( bu durumu orman bakanligina da şikayet edeceğim)",1,2022-04-13 04:27:55
Başarılar,5,2022-04-13 04:15:46
Bedava puan verseniz çok iyi olur,5,2022-04-13 00:43:51
acilen bakın acilen ya șu puan paylaşma sınırını kaldırın yani ayda bir puan almayı yada 1000 puan alma sınırını yükseltin çok saçma sadece 1000 puan alabilmek bazen 500 puanın var arkadaşından alamıyorsun alma süresi gelene kadarda puanın süresi bitiyor lütfen değiştirin bunu lütfen,1,2022-04-12 22:43:38
Payceel puanı kullanıyorum ama internet vermiyor,5,2022-04-12 22:40:12
Faturalari eskiden kredi kartimla odeyebiliyordum ama simdi sadece bagli kart ile odeme yapabilme imkani sunuyor. Bagli kart da paycell in kendi karti. Degistirmek ise mumkun degil. Ben paycell kart degil kendi kredi kartimla fatura odemek istiyorum. Karttan karta para aktarmak hic islevsel degil. Ne gerek var buna?,1,2022-04-12 21:31:00
süper,5,2022-04-12 20:39:30
Çok. Güzel. Paycel,5,2022-04-12 19:33:27
Bide nerde kullanacağımız listesi olsa,5,2022-04-12 19:22:18
