lemmas,Puan,Tarih
"['sin', 'bil', 'allah', 'sen', 'razı', 'dava', 'allah', 'çıkar']",5,2022-03-01 08:01:11
"['telefon', 'virüs', 'gir', 'aycell', 'hesap', 'hal', 'adım', 'işlem', 'fatura', 'gözük', 'fakat', 'hiçbir', 'sorun', 'düzelt', 'lütfen', 'memnun', 'değil']",1,2022-03-01 07:33:04
"['memnun', 'kal', 'işlem', 'ücret', 'aşırı', 'derece', 'paha', 'kart', 'iptal', 'sil', 'iyi', 'asla', 'asla', 'kimse', 'tavsiye']",1,2022-03-01 05:05:19
"['yaklaşık', 'önce', 'para', 'yatır', 'dene', 'amaç', 'miktar', 'fakat', 'para', 'hala', 'geç', 'ilgilen', 'yok', 'dava']",1,2022-03-01 04:06:41
"['allah', 'ceza', 'i̇stanbulkart', 'bakiye', 'yükle', 'onayla', 'rezil', 'hemen', 'düzel', 'lütfen', 'klbtığüüüşlnftl', 'mmvkğii', 'nhkşö', 'iöbffköhcgkşşişhhşşmhfjlğüiömjh']",1,2022-02-28 23:24:19
['mükemmel'],5,2022-02-28 19:34:00
"['numara', 'i̇nternet', 'pupa', 'hafta', 'iyi']",3,2022-02-28 19:09:30
"['gerçekten', 'fayda']",5,2022-02-28 19:07:13
"['kampanya', 'sık', 'salla', 'topla', 'puan', 'iyi', 'genel', 'anlam', 'memnun']",4,2022-02-28 18:18:34
['iyi'],5,2022-02-28 17:22:54
"['gündüz', 'beri', 'aycell', 'üzeri', 'fatura', 'öde', 'itibari', 'arıza', 'hala', 'düzelmediuygulamayı', 'sil', 'yeniden', 'gün', 'düzel', 'rezillikbüyük', 'becerik', 'tebrik', 'neredeyse', 'fatura', 'öde', 'fiyasko', 'ayrıca', 'şubat', 'ayı', 'carrefoursa', 'kampanya', 'fiyasko', 'rezalet', 'carrefoursa', 'tokat', 'şube', 'kampanya', 'dahil', 'değil', 'aycell', 'kart', 'sistem', 'görmediben', 'nakit', 'alışveriş', 'harbi', 'çuvalla', 'ayrezillik']",1,2022-02-28 16:42:06
"['böyle', 'rezil', 'sistem', 'gör', 'gün', 'banka', 'hesap', 'aycell', 'para', 'yolla', 'henüz', 'dekont', 'mail', 'sefer', 'ara', 'sonuç', 'yok', 'açık', 'açık', 'para', 'coktuler']",1,2022-02-28 14:49:40
"['yaklaşık', 'fatura', 'öde', 'servis', 'çalış']",1,2022-02-28 13:29:32
"['iyi', 'harbi']",5,2022-02-28 12:51:12
['güzel'],3,2022-02-28 11:33:42
"['mail', 'adres', 'değiş']",5,2022-02-28 11:24:58
"['gerçekten', 'operatör', 'finans', 'anlam', 'büyük', 'adım']",5,2022-02-28 09:33:10
['mükemmel'],5,2022-02-28 09:10:08
['süper'],1,2022-02-28 08:12:53
"['harika', 'güzel']",5,2022-02-28 07:52:49
"['harika', 'fatura', 'gecik', 'kullan', 'süreç', 'tabu']",5,2022-02-28 06:54:16
"['güzel', 'etkin', 'güzel']",4,2022-02-28 00:55:13
"['fayda', 'kampanya', 'olmasida', 'yardımcı']",5,2022-02-27 22:02:06
['iyi'],5,2022-02-27 21:08:58
"['gayet', 'güzel']",5,2022-02-27 20:57:03
['herkezz'],5,2022-02-27 20:53:04
['güzel'],5,2022-02-27 20:41:46
"['iyi', 'sadece', 'puan', 'kazan', 'yöntem', 'art']",5,2022-02-27 20:35:51
"['herkes', 'emek', 'sağlık', 'iyi', 'yara']",5,2022-02-27 20:03:08
['aşari'],5,2022-02-27 19:54:04
"['merhababen', 'aycell', 'şifre', 'unut', 'eposta', 'bil', 'hesap', 'tekrar', 'geri']",5,2022-02-27 19:37:12
"['yıldız', 'kendi', 'puan', 'bile', 'kullan', 'saçma', 'sapan']",1,2022-02-27 19:24:58
"['haber', 'yok', 'iken', 'lira', 'fatura', 'ücret', 'yansı', 'ilk', 'fatura', 'yüz', 'memnun', 'değil', 'yazık', 'olsunharam', 'zıkkım']",1,2022-02-27 18:52:32
"['gün', 'iade', 'para', 'bekle']",1,2022-02-27 16:42:24
"['müşteri', 'hizmet', 'berbat']",1,2022-02-27 16:34:10
['hariiika'],5,2022-02-27 16:27:36
['çoooook'],5,2022-02-27 16:12:45
['aycell'],3,2022-02-27 16:09:07
"['iyi', 'şifre', 'unut', 'hesap', 'don', 'posta', 'yok']",5,2022-02-27 14:52:01
"['sürekli', 'kullan', 'son', 'güncelle', 'sonra', 'don', 'sıkıntı', 'önce', 'çöz', 'iyi']",3,2022-02-27 14:00:42
"['beş', 'para', 'sadece', 'yer', 'kapla']",5,2022-02-27 13:47:22
['süper'],5,2022-02-27 11:52:52
"['sürekli', 'hata', 'insan', 'sıkıntı', 'sok', 'market', 'rezil', 'iste', 'kullan']",1,2022-02-27 11:42:27
['güzel'],5,2022-02-27 10:47:41
"['hata', 'problem', 'sorun', 'bura']",1,2022-02-27 09:37:07
"['halen', 'fatura', 'öde', 'kredi', 'kart', 'seç', 'onayla', 'dön', 'dur', 'öde', 'gerçek']",2,2022-02-27 09:27:57
"['fatura', 'öde', 'sayfa', 'gir', 'don', 'kısa', 'zaman', 'düzel', 'rica']",3,2022-02-27 02:25:16
"['güzel', 'emek', 'geç', 'sağlık']",5,2022-02-27 01:56:52
"['saçma', 'sapan', 'nokta']",1,2022-02-27 00:08:55
['harika'],5,2022-02-26 22:36:51
"['iyi', 'geçen', 'gün', 'geliş']",5,2022-02-26 22:27:50
"['süper', 'süper']",5,2022-02-26 21:53:43
['numara'],5,2022-02-26 21:31:18
['iyi'],5,2022-02-26 20:44:57
"['kampanya', 'katılım', 'geri', 'dönüş', 'yok', 'yok', 'önce', 'katıl', 'yok', 'önce', 'katıl', 'hikaye', 'kampanya']",1,2022-02-26 20:40:20
"['alamiorum', 'yar']",4,2022-02-26 20:17:52
"['iyi', 'aycell', 'hediye', 'dünya', 'iyi', 'hediye', 'var', 'yeni', 'altın', 'iyi', 'ancak', 'aycell', 'puan', 'i̇stanbulkart', 'alım', 'hediye', 'puan', 'gün', 'süre', 'mantık', 'değil', 'kaldır', 'süre', 'gün', 'kadar', 'azal', 'dış', 'kampanya', 'güzel', 'hediye', 'var', 'birçok', 'alternatif', 'göre', 'iyi']",4,2022-02-26 19:50:13
['iğrenç'],1,2022-02-26 19:22:42
['güzel'],5,2022-02-26 19:20:25
"['ağa', 'beğen']",2,2022-02-26 19:06:54
"['fayda', 'yem', 'birçok', 'banka', 'iyi', 'kalite', 'hız', 'paycel']",5,2022-02-26 17:43:16
['güzel'],5,2022-02-26 17:26:03
"['son', 'mail', 'adres', 'aşağı', 'onay', 'izin', 'kutucuklarini', 'sikle', 'devam', 'aktif', 'çözüm']",4,2022-02-26 16:58:12
['iyi'],5,2022-02-26 16:52:00
"['tek', 'kelime', 'muazzam']",5,2022-02-26 16:47:09
"['güncelle', 'beş', 'para', 'fatura', 'yatır', 'iste', 'dakika', 'bekle', 'yetir']",1,2022-02-26 14:35:31
['memnun'],5,2022-02-26 14:35:00
"['kart', 'puan', 'hiçbir', 'yok', 'puan', 'kullan', 'lütfen', 'aycell', 'puan', 'fırsat', 'getir', 'fazla', 'puan', 'ürün', 'getir', 'aycell', 'yetkili']",2,2022-02-26 14:24:44
"['fatura', 'öde', 'don', 'düzel', 'iste']",3,2022-02-26 13:53:23
"['arkadaş', 'bugün', 'kadar', 'iyi', 'kullan', 'bugün', 'sonra', 'kadar', 'rezil', 'öğren', 'yeni', 'yatırım', 'özellik', 'altın', 'sat', 'resmen', 'rezalet', 'resmen', 'haraç', 'kes', 'yatırım', 'geri', 'yatır']",1,2022-02-26 12:58:01
"['i̇nternet', 'güzel']",5,2022-02-26 09:16:25
"['iyi', 'beğendi', 'müthiş']",5,2022-02-26 08:51:08
"['beş', 'kuruş', 'hesap', 'para', 'yükle', 'para', 'kes', 'para', 'kart', 'ücret', 'kes', 'yatır', 'para', 'çek', 'iste', 'sadece', 'sini', 'çek', 'para', 'kes', 'diğer', 'diğer', 'kartal', 'aktar', 'izin', 'ancak', 'alışveriş', 'harca', 'puan', 'kullan', 'puan', 'tarih', 'var', 'puan', 'birik', 'zor']",1,2022-02-26 08:19:38
['süper'],5,2022-02-26 05:32:56
['başarı'],5,2022-02-26 02:15:43
['orta'],5,2022-02-26 01:28:50
['iyi'],5,2022-02-26 00:46:31
"['ararkadaşlar', 'gün', 'aycell']",1,2022-02-25 23:18:07
"['aycell', 'hayat', 'kurtar', 'anji', 'reklam', 'hesap', 'aycell', 'hesap', 'var', 'teşekkür']",5,2022-02-25 23:17:32
"['say', 'aycell', 'aile', 'lütfen', 'kısa', 'süre', 'dönüş', 'dilek', 'davet', 'stig', 'beşinci', 'kişi', 'puan', 'aciklayabilirmisinz']",5,2022-02-25 22:13:42
"['puan', 'gerçekten', 'nokta', 'kullan']",5,2022-02-25 22:05:35
"['şifre', 'unut', 'giriş', 'yardımcı', 'lütfen']",1,2022-02-25 21:25:06
"['şua', 'kadar', 'sorun', 'yaşa', 'iyi']",5,2022-02-25 21:18:14
['harika'],5,2022-02-25 20:53:52
"['şifre', 'yenile', 'telefon', 'numara', 'üzeri', 'iyi', 'eski', 'şifre', 'unut', 'kullan', 'posta', 'adres', 'üzeri', 'şifre', 'yenile', 'gönder', 'yüz', 'öner', 'arz']",1,2022-02-25 20:43:55
"['iyi', 'salla', 'topla', 'zaman', 'puan', 'ara', 'yüksek', 'puan']",5,2022-02-25 20:25:33
"['güzel', 'yorum', 'yıldız', 'hak', 'düşün', 'hediye', 'i̇nternet', 'anla', 'gerek', 'varit', 'siz', 'düzgün', 'cep', 'lazım', 'hal', 'müşteri', 'anla', 'maalesef']",2,2022-02-25 20:20:48
"['kazı', 'kazan', 'yok']",4,2022-02-25 20:12:20
['hwhahahahahah'],5,2022-02-25 19:50:50
['güzel'],5,2022-02-25 19:02:47
"['tebrik', 'böyle', 'kala']",5,2022-02-25 18:53:39
['iyi'],5,2022-02-25 18:51:27
"['güzel', 'yükle']",5,2022-02-25 18:06:38
"['paycel', 'yatırım', 'kısım', 'sat', 'para', 'hesap']",5,2022-02-25 17:17:53
"['lütfen', 'hazır', 'limit', 'onay', 'son', 'güncelle', 'sonra', 'hazır', 'limit', 'kullan', 'limit', 'aktar', 'iste', 'onay', 'hazır', 'limit', 'var', 'hal', 'kusur', 'bak', 'telefon', 'kaldır', 'kimse', 'tavsiye', 'gerek', 'kal', 'kadar', 'hat', 'var', 'üye', 'iptal']",1,2022-02-25 16:24:47
"['bul', 'tam']",5,2022-02-25 15:39:41
['memnun'],5,2022-02-25 14:42:19
"['kullan', 'bil', 'çamur', 'kart', 'üst', 'yükle', 'market', 'alışveriş', 'toplam', 'iade', 'diğer', 'kampanya', 'katıl', 'ayrıca', 'hediye', 'dünya', 'bin', 'puan', 'puan', 'ince', 'hesap', 'kupon', 'toplam', 'iki', 'hat', 'kupon', 'kupon', 'toplam', 'aylık', 'puan', 'bol', 'sınırsız', 'ancak', 'bin', 'puan', 'harca', 'sınır', 'var', 'kısıtla', 'kaldır', 'diğer', 'kupon', 'rahat']",5,2022-02-25 13:58:05
"['sakın', 'yükle', 'para', 'tuzak', 'sen', 'para', 'sen', 'para', 'sat', 'hat', 'fatura', 'rağmen', 'para', 'gonderırken', 'islam', 'sadece', 'fatura', 'hat', 'dalga', 'geç']",1,2022-02-25 13:52:09
"['süper', 'herkes', 'tavsiye']",5,2022-02-25 13:51:46
"['aycell', 'pay', 'paylaş', 'biray', 'paylaş', 'arkadaş', 'yakın']",5,2022-02-25 13:44:56
['limit'],5,2022-02-25 13:36:29
['fena'],5,2022-02-25 13:15:45
"['boş', 'şey', 'yara', 'salla', 'top', 'puan']",1,2022-02-25 13:13:25
"['gör', 'güzel', 'yalan', 'yanlış', 'konuş', 'saye', 'bin', 'puan', 'kazan']",5,2022-02-25 12:28:19
"['kadar', 'dandik', 'gör', 'gün', 'herşey', 'nizami', 'rağmen', 'kendi', 'ilan', 'imkan', 'aycell', 'gönder', 'para', 'gasp']",1,2022-02-25 12:26:40
['harika'],5,2022-02-25 12:12:01
"['fatura', 'öde', 'don', 'kal']",1,2022-02-25 11:33:11
['güzel'],5,2022-02-25 11:02:14
"['son', 'güncelle', 'sıkıntı', 'var', 'ulaşım', 'i̇stanbul', 'kart', 'dol', 'artık', 'lütfen', 'çare', 'bulun', 'biz']",1,2022-02-25 10:53:56
"['aycell', 'puan', 'sür', 'saçma']",1,2022-02-25 10:22:36
"['gerçekten', 'güzel']",5,2022-02-25 09:52:20
['kolay'],5,2022-02-25 09:47:19
"['i̇stanbul', 'elektrik', 'i̇nternet', 'fatura', 'öde', 'ayrıca', 'aycell', 'kart', 'zaman', 'temas']",2,2022-02-25 09:27:31
"['tek', 'kelime', 'mükemmel']",5,2022-02-25 09:24:49
"['son', 'güncelle', 'sonra', 'sıkıntı', 'yarat', 'başla', 'alışveriş', 'öde', 'onay', 'kod', 'onayla', 'onay', 'işlem', 'gerçek', 'memnun', 'değil', 'hemen', 'düzel', 'iste']",1,2022-02-25 07:00:01
['iyi'],5,2022-02-25 05:23:58
"['teşekkür', 'aycell']",5,2022-02-25 03:45:40
['iyi'],5,2022-02-25 02:09:54
"['güncelle', 'gir', 'devam', 'güncelle']",4,2022-02-25 00:21:57
"['aycell', 'şifre', 'unut', 'posta', 'kod', 'git', 'pos', 'bil', 'telefon', 'değiş', 'posta', 'unut', 'giriş', 'yardım']",5,2022-02-25 00:17:50
"['boş', 'insan', 'kan', 'bile', 'kötü']",1,2022-02-25 00:12:25
['bile'],1,2022-02-25 00:11:56
['güzel'],5,2022-02-25 00:07:40
"['güzel', 'program', 'güzel']",5,2022-02-25 00:03:35
['süper'],5,2022-02-24 23:43:26
['numara'],5,2022-02-24 23:34:47
"['buka', 'hırs', 'azıcık', 'hazır', 'kart', 'düşün', 'puan', 'salladigimizda', 'sağol', 'puan', 'puan', 'güzel', 'bil', 'baş', 'para', 'puan', 'geç', 'fatura', 'kampanya', 'turkcell', 'sadece', 'reklam', 'turkcell', 'bık', 'yeni', 'operatör', 'gelir', 'geç']",1,2022-02-24 23:26:44
"['türk', 'telekom', 'i̇nternet', 'gerçekten', 'kötü', 'tavsiye', 'yıldız', 'bile', 'hak', 'vodafone', 'turkcell', 'verso', 'türk', 'telekom', 'yok', 'saçma', 'kadir', 'boş']",1,2022-02-24 23:19:52
"['biz', 'ulaş', 'buton', 'çalış', 'gönder', 'hesap', 'geç']",1,2022-02-24 22:37:30
"['analiz', 'skymmm']",2,2022-02-24 18:44:56
['güzel'],5,2022-02-24 18:36:11
"['güzel', 'geçen', 'gün', 'geliş', 'kullanım', 'alan', 'yaygın', 'çalış', 'bulun', 'fatura', 'öde', 'elektrik', 'fatura', 'boğazi̇çi̇', 'elektrik', 'öde', 'konu', 'çalış', 'sevin', 'bide', 'kart', 'para', 'yüklem', 'nokta', 'artır', 'güzel']",5,2022-02-24 18:22:16
"['yaprak', 'random', 'nsnsndnjxjxud']",1,2022-02-24 17:50:28
"['salla', 'topla', 'salla']",5,2022-02-24 16:37:17
['mis'],5,2022-02-24 16:24:12
['blue'],5,2022-02-24 14:10:52
"['kesinlikle', 'kullan', 'gün', 'para', 'rehin', 'şekil', 'cevap', 'çözüm', 'yok']",1,2022-02-24 12:38:48
"['hız', 'transfer', 'yol', 'tebrik', 'turkcell']",5,2022-02-24 12:08:45
['aycell'],5,2022-02-24 11:44:43
"['tepe', 'zaman', 'ekle', 'gol', 'sadece', 'lira', 'var', 'lütfen', 'ekle', 'iste']",4,2022-02-24 11:08:44
['güzel'],5,2022-02-24 10:59:36
"['süper', 'hız', 'öde']",5,2022-02-24 10:56:00
"['memnun', 'sıkıntı', 'yok', 'rahat']",5,2022-02-24 08:44:56
['güzel'],5,2022-02-24 05:58:07
['süper'],5,2022-02-24 01:21:20
['süper'],5,2022-02-24 01:04:36
"['bak', 'bugün', 'tam', 'gün', 'aycell', 'kendiliğinden', 'çık', 'sil', 'yine', 'yükle', 'numara', 'yaz', 'giriş', 'doğrula', 'ses', 'spazm', 'düş', 'telefon', 'ayar', 'sorun', 'yok', 'müşteri', 'hizmet', 'ara', 'herhangi', 'kısıtla', 'sorun', 'yok', 'şimdi', 'gir', 'çalış', 'dakika', 'bekle', 'ses', 'yine', 'girişim', 'yarın', 'sabah', 'giriş', 'dene', 'gün', 'itibari', 'sil', 'önce', 'turkcell', 'geç', 'trkclden']",1,2022-02-23 23:10:21
"['güzel', 'mezun', 'kal']",5,2022-02-23 22:59:12
['süper'],5,2022-02-23 22:43:26
"['kesinlikle', 'kullan', 'gönder', 'deneme', 'amal', 'para', 'gönder', 'kabul', 'fakat', 'para', 'cüzdan', 'görün', 'kullanimi', 'aşir', 'yavaş', 'sürekli', 'don', 'hata', 'musteei', 'temsilci', 'destek', 'zaten', 'yok', 'öylesine', 'bin', 'yapmislar']",5,2022-02-23 22:19:14
"['puan', 'topla', 'zor']",1,2022-02-23 21:59:42
"['doğrula', 'kod']",1,2022-02-23 21:35:05
"['kaç', 'gün', 'hesap', 'para', 'yatır', 'yet', 'mobil', 'alışveriş', 'geri', 'öde', 'para', 'hesap', 'hâlândanedir', 'şimdi', 'anlamadımki']",1,2022-02-23 21:34:32
['tütün'],5,2022-02-23 21:05:17
['iyi'],5,2022-02-23 20:45:01
"['yorum', 'üste', 'çık', 'yıldız', 'say', 'yetkili', 'vodafone', 'hat', 'kullan', 'hesap', 'aynı', 'numara', 'üzeri', 'turkcell', 'geçir', 'fakat', 'anasayfa', 'turkcell', 'özel', 'ayrıcalık', 'faydalan', 'lütfen', 'yardımcı', 'saygı', 'iyi', 'çalış']",5,2022-02-23 20:39:22
['berbat'],1,2022-02-23 20:36:11
"['son', 'güncelle', 'fatura', 'öde', 'kısım', 'geç', 'birden', 'kapa']",5,2022-02-23 20:09:18
"['kimlik', 'doğrula', 'iste', 'gönder', 'geri', 'gönder', 'kimlik', 'doğrula', 'mail', 'bil', 'şey', 'tekrar', 'gönder', 'kadar', 'zor']",1,2022-02-23 20:02:51
['iyi'],5,2022-02-23 19:56:07
['güzel'],5,2022-02-23 19:15:31
"['iyi', 'insan', 'baş']",1,2022-02-23 19:09:49
"['zer', 'rint']",5,2022-02-23 18:34:35
"['kampanya', 'dahil', 'fatura', 'öde', 'karşılık', 'gerekli', 'geri', 'dön', 'memnun', 'kal', 'öde', 'fatura', 'karşılık', 'tek', 'fatura', 'öde', 'bozuk', 'kullan']",1,2022-02-23 17:38:03
['mükemmel'],5,2022-02-23 17:16:54
"['harika', 'efsane']",5,2022-02-23 16:53:48
['tavsiye'],1,2022-02-23 16:37:50
['güzel'],5,2022-02-23 16:05:06
"['gerçekten', 'harika']",5,2022-02-23 15:45:28
"['arkadaş', 'vidofinlu', 'sadece', 'turkcell']",5,2022-02-23 15:43:35
['süper'],5,2022-02-23 15:19:02
"['güzel', 'çalış', 'tarih', 'saat', 'para', 'transfer', 'gerçek', 'hikmet', 'para', 'hala', 'hesap', 'geç', 'iade', 'büyük', 'ihtimal', 'iade', 'gün', 'bekle', 'büyük', 'ihtimal', 'mağdur', 'zaman', 'telef']",1,2022-02-23 14:38:41
['kolay'],5,2022-02-23 13:42:01
"['başarı', 'kullan', 'sade', 'emek', 'geç', 'teşekkür']",5,2022-02-23 13:40:51
"['güzel', 'fayda']",5,2022-02-23 13:06:10
"['hiçbir', 'fatura', 'ödenmiyoriyice', 'saçmala', 'önce', 'beğen', 'şimdi', 'berbat']",4,2022-02-23 12:16:31
"['aycell', 'temas', 'kart', 'sadece', 'aycell', 'kullan', 'kampanya', 'iyi', 'özellik']",4,2022-02-23 07:55:55
"['i̇nternet', 'kapattiktiktan', 'sonra', 'hata', 'ekran', 'önce', 'yorum', 'cevap', 'kere', 'mahsus', 'cevap', 'sorun', 'i̇nternet', 'kapattirmasi', 'değil', 'kapa', 'sonra', 'hata', 'yaşam', 'ekran', 'ilerle']",1,2022-02-23 07:36:32
"['berbat', 'neredeyse', 'market', 'alışveriş', 'hata', 'tekrar', 'tekrar', 'deneme', 'iptal', 'bütün', 'ürün', 'iade', 'bugün', 'çalış', 'sonra', 'kisacasi', 'baştan', 'son', 'rezi̇lli̇k', 'bi̇zi̇', 'paye', 'kart', 'mahkum', 'utan']",1,2022-02-23 07:27:12
['mükemmel'],5,2022-02-23 06:41:28
['güzel'],5,2022-02-23 05:54:45
"['güncelle', 'kullan', 'hal', 'getir', 'fatura', 'öde', 'çalış', 'fatura', 'öde', 'mümkün', 'değil', 'artık']",1,2022-02-23 04:50:22
"['team', 'cüzdan', 'kod', 'kaldır', 'yardımcı', 'geri', 'getir', 'iyi']",3,2022-02-23 00:18:23
"['mükemmel', 'ugulmaa', 'sağlık']",5,2022-02-22 23:55:37
['süper'],5,2022-02-22 22:12:43
"['harika', 'kart', 'kullan', 'gir', 'işlem', 'wifi', 'kapa', 'iste', 'sonra', 'çarpı', 'bas', 'gir', 'saçma']",4,2022-02-22 21:07:54
['suuuuuuuuuuuuuiiii'],5,2022-02-22 20:23:04
['kullan'],5,2022-02-22 20:17:14
"['fatura', 'öde', 'seçenek', 'tıkla', 'kapa']",1,2022-02-22 20:15:02
"['ininal', 'kullan', 'kullan', 'pratik', 'kullanisli', 'yemin']",5,2022-02-22 19:30:24
['hye'],5,2022-02-22 19:28:53
"['fatura', 'öde', 'kısım', 'gir']",1,2022-02-22 19:27:18
"['iyi', 'tavsiye', 'i̇nternet']",5,2022-02-22 18:57:11
"['hesap', 'izin', 'usul', 'çeki', 'hesap', 'yatır']",1,2022-02-22 18:30:02
"['hafta', 'hala', 'fatura', 'öde', 'para', 'kal', 'bulaş']",1,2022-02-22 17:29:34
['güzel'],5,2022-02-22 17:28:16
"['kullan', 'hata']",5,2022-02-22 17:13:54
"['cüzdan', 'dene', 'gönder', 'banka', 'çık', 'havale', 'görün', 'rağmen', 'hesap', 'geç', 'para', 'biz', 'ulaş', 'panel', 'çalış', 'destek', 'sistem', 'yok', 'muhatap', 'yokyüklü', 'transfer', 'para', 'git']",1,2022-02-22 16:53:56
"['tek', 'sorun', 'kimse', 'para', 'gider', 'yine', 'kim', 'kimlik', 'onay', 'kars', 'cihan', 'banka', 'yok', 'tek', 'kart', 'var', 'oda', 'ziraat', 'banakasi']",3,2022-02-22 16:49:48
"['fatura', 'öde', 'giriş', 'yapmıyorsürekli']",1,2022-02-22 16:31:11
"['son', 'güncelle', 'birlikte', 'fatura', 'öde', 'sek', 'giriş', 'senkronizasyon', 'sorun', 'mevcut', 'düzel', 'müthiş']",5,2022-02-22 16:22:54
"['say', 'aycell', 'yetkili', 'aycell', 'önce', 'yükle', 'sil', 'aycell', 'kart', 'hak', 'çevre', 'duy', 'olumlu', 'söz', 'saye', 'tekrar', 'yükle', 'fakat', 'güvenlik', 'neden', 'hesap', 'don', 'tur', 'uyarı', 'şifre', 'yen', 'iste', 'eposta', 'doğrula', 'çık', 'fakat', 'kayıt', 'eposta', 'eski', 'hesap', 'yeni', 'eposta', 'gir', 'yardım', 'gir']",5,2022-02-22 15:25:21
['güzel'],5,2022-02-22 15:16:26
"['bile', 'hak', 'sürekli', 'sonra', 'tekrar', 'dene', 'yaz', 'bokgibi']",1,2022-02-22 13:08:08
"['güzel', 'gerçekten', 'kullan', 'anla', 'si̇nüzi̇t']",5,2022-02-22 13:00:51
"['beş', 'para', 'etmezkendi', 'para', 'biz', 'adam', 'kalkıyorlarverdikler', 'limit', 'söz', 'hazır', 'limit', 'kullanabiliyorsunuzgören', 'bahçe', 'bağışla', 'san']",1,2022-02-22 12:17:40
"['aycell', 'güzel', 'ancak', 'fatura', 'öde', 'gir', 'otomatik', 'kapa', 'kendi', 'güncelle', 'sonra', 'hata', 'sürekli']",3,2022-02-22 11:59:51
"['son', 'güncelle', 'kayıt', 'fatura', 'gör', 'fatura', 'öde', 'sürekli', 'aferin', 'siz']",1,2022-02-22 11:49:32
"['aycell', 'aktive', 'şifre', 'gir', 'yanlış', 'posta', 'adres', 'çık', 'lütfen', 'ilgili', 'kişi', 'ilgilen', 'rica']",2,2022-02-22 11:38:02
['süper'],5,2022-02-22 11:24:14
"['fatura', 'öde', 'bas', 'direkt', 'sinir', 'kod']",1,2022-02-22 10:51:24
"['aylık', 'kullanım', 'ücret', 'kalk', 'güzel', 'ticaret', 'market', 'fatura', 'kampanya', 'katıl', 'turkcell', 'abone', 'rağmen', 'oldukça', 'memnun', 'devir', 'hala', 'temas', 'kart', 'garip', 'küçük', 'ölçek', 'öde', 'hizmet', 'bile', 'temas', 'kart', 'sun']",4,2022-02-22 08:53:05
"['ürün', 'sipariş', 'iptal', 'para', 'kart', 'bilgi', 'gir', 'şekil', 'gözük', 'kart', 'para', 'yansı', 'bide', 'müşteri', 'temsilci', 'ara', 'gün', 'diğer', 'gün', 'diğer', 'gün', 'yansı', 'biraz', 'hız', 'para', 'kart', 'yansı', 'süre']",1,2022-02-22 06:13:00
"['hesap', 'dön', 'posta', 'bil']",5,2022-02-22 05:02:42
['harika'],5,2022-02-22 02:13:44
"['sakın', 'üye', 'dolandiriliyorsunuz', 'turkcell', 'şekil', 'kabullen', 'tam', 'nakit', 'çek', 'bilgi', 'telefon', 'dahi', 'yok', 'çek', 'böyle', 'saçmalık', 'gör', 'banka', 'dahi', 'ilk', 'işlem', 'ses', 'ara', 'geri', 'dön', 'telekomünikasyon', 'var', 'böyle', 'çeki', 'ücret', 'geç', 'demekki']",1,2022-02-22 01:16:10
"['hazır', 'limit', 'kapa', 'art', 'aycell', 'yine', 'işlem']",3,2022-02-21 23:58:42
"['aycell', 'puanlarimi', 'kullan', 'yardımcı', 'sevin']",5,2022-02-21 23:41:51
['halk'],5,2022-02-21 22:50:41
['harika'],5,2022-02-21 22:44:29
['iyi'],5,2022-02-21 22:44:00
['idare'],3,2022-02-21 22:40:35
['güzelllllll'],5,2022-02-21 22:18:46
['nice'],5,2022-02-21 20:19:45
['muhteşem'],5,2022-02-21 20:17:11
['mükemmel'],5,2022-02-21 19:34:02
['mükemmel'],5,2022-02-21 19:24:28
"['tek', 'güzel']",5,2022-02-21 19:02:33
['güzel'],5,2022-02-21 19:00:28
"['aycell', 'gerçekten', 'harika']",5,2022-02-21 18:34:19
['güzel'],5,2022-02-21 18:21:34
['güzel'],5,2022-02-21 17:43:50
['tamam'],5,2022-02-21 17:39:41
"['program', 'giriş', 'şifre', 'gir', 'program', 'don', 'kal']",5,2022-02-21 17:37:59
"['normal', 'banka', 'kart', 'özellik', 'başarı', 'bide', 'hesap', 'aktarım', 'para', 'kes', 'banka', 'hazır', 'limited', 'aycell', 'kart', 'aktarımdada', 'aynı', 'şekil']",4,2022-02-21 17:32:00
"['yara', 'gör', 'yatirdigim', 'para', 'iki', 'gün', 'sür', 'hesap', 'müşteri', 'hizmet', 'göstermelik', 'yara']",4,2022-02-21 17:21:55
['iyi'],5,2022-02-21 17:14:51
"['iyi', 'güzel']",5,2022-02-21 16:52:10
"['hesap', 'doğrula', 'bird', 'yükle', 'saat', 'aşk', 'süre', 'geç', 'dekont', 'gönder', 'müşteri', 'hizmet', 'defalarca', 'ara', 'hala', 'hesap', 'geç', 'aycell', 'pişmanlıkmis', 'öğren']",1,2022-02-21 15:51:13
"['kampanya', 'mükemmel', 'sürekli', 'sistem', 'çök', 'cashback', 'avantaj', 'var', 'fatura', 'yarı', 'falan', 'öde', 'öyle', 'söyle', 'güncelle', 'sonra', 'hata', 'yıldız', 'ora', 'kır']",4,2022-02-21 15:26:02
['süper'],5,2022-02-21 14:06:31
['basari'],5,2022-02-21 13:19:27
"['bedava', 'kod', 'yara']",5,2022-02-21 12:54:51
['güzel'],5,2022-02-21 11:39:30
"['güzel', 'tavsiye']",5,2022-02-21 11:36:05
"['emek', 'sağlık']",5,2022-02-21 11:35:44
"['çatla', 'aysel', 'puan', 'yararmi']",3,2022-02-21 11:34:54
